Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,-304.508,-127.5462,90,bottom
C2,100nF,C_0402_1005Metric,-302.2,-140.8,-90,bottom
C3,1uF,C_0402_1005Metric,-300.444,-128.5824,90,bottom
C4,100nF,C_0402_1005Metric,-303.5,-127.55,90,bottom
C5,1uF,C_0402_1005Metric,-299.428,-128.5824,90,bottom
C6,100nF,C_0402_1005Metric,-309.715,-131.28,0,bottom
C7,100nF,C_0402_1005Metric,-296.789,-135.979,180,bottom
C8,100nF,C_0402_1005Metric,-309.715,-136.106,0,bottom
C9,100nF,C_0402_1005Metric,-303.45,-140.8,-90,bottom
C10,100nF,C_0402_1005Metric,-297.17,-130.899,180,bottom
C11,100nF,C_0402_1005Metric,-297.17,-129.629,180,bottom
C12,0.47uF,C_0402_1005Metric,-272.145,-124.35,180,bottom
C13,0.47uF,C_0402_1005Metric,-271.2,-122.9,90,bottom
C14,0.1uF,C_0402_1005Metric,-272.175,-122.9,90,bottom
C15,0.47uF,C_0402_1005Metric,-262.36,-121.14,180,bottom
C16,0.1uF,C_0402_1005Metric,-262.36,-122.115,180,bottom
C17,22uF,CP_EIA-3216-10_Kemet-I,-263.85,-115.75,90,bottom
C18,0.47uF,C_0402_1005Metric,-265.85,-119.9,180,bottom
C19,0.1uF,C_0402_1005Metric,-265.85,-118.9,180,bottom
C20,27pF,C_0402_1005Metric,-308.65,-145.7,45,bottom
C21,27pF,C_0402_1005Metric,-304.25,-146.17,135,bottom
C22,100nF,C_0402_1005Metric,-307.105,-123.499,0,bottom
C23,10uF,C_0805_2012Metric,-297.1,-116.2,180,bottom
C24,10uF,C_0805_2012Metric,-295.2,-127.4,180,bottom
D1,D,D_SOD-323,-48.15,-103.475,90,bottom
D2,D,D_SOD-323,-53,-122.525,90,bottom
D3,D,D_SOD-323,-62.4,-141.575,90,bottom
D4,D,D_SOD-323,-52.9,-160.625,90,bottom
D5,D,D_SOD-323,-50.15,-103.475,90,bottom
D6,D,D_SOD-323,-54.976,-122.525,90,bottom
D7,D,D_SOD-323,-64.374,-141.575,90,bottom
D8,D,D_SOD-323,-54.9,-160.625,90,bottom
D9,D,D_SOD-323,-68.2,-103.475,90,bottom
D10,D,D_SOD-323,-73.05,-122.525,90,bottom
D11,D,D_SOD-323,-82.4,-141.575,90,bottom
D12,D,D_SOD-323,-80.06675,-160.625,90,bottom
D13,D,D_SOD-323,-87.25,-103.475,90,bottom
D14,D,D_SOD-323,-92.05,-122.525,90,bottom
D15,D,D_SOD-323,-101.45,-141.575,90,bottom
D16,D,D_SOD-323,-106.3,-103.475,90,bottom
D17,D,D_SOD-323,-111.1,-122.525,90,bottom
D18,D,D_SOD-323,-120.5,-141.575,90,bottom
D19,D,D_SOD-323,-118.16675,-160.625,90,bottom
D20,D,D_SOD-323,-125.35,-103.475,90,bottom
D21,D,D_SOD-323,-130.15,-122.525,90,bottom
D22,D,D_SOD-323,-139.55,-141.575,90,bottom
D23,D,D_SOD-323,-144.4,-103.475,90,bottom
D24,D,D_SOD-323,-149.2,-122.525,90,bottom
D25,D,D_SOD-323,-158.6,-141.575,90,bottom
D26,D,D_SOD-323,-170.586,-160.625,90,bottom
D27,D,D_SOD-323,-163.45,-103.475,90,bottom
D28,D,D_SOD-323,-168.25,-122.525,90,bottom
D29,D,D_SOD-323,-177.65,-141.575,90,bottom
D30,D,D_SOD-323,-182.5,-103.475,90,bottom
D31,D,D_SOD-323,-187.3,-122.525,90,bottom
D32,D,D_SOD-323,-196.7,-141.575,90,bottom
D33,D,D_SOD-323,-208.686,-160.625,90,bottom
D34,D,D_SOD-323,-201.55,-103.475,90,bottom
D35,D,D_SOD-323,-206.4,-122.525,90,bottom
D36,D,D_SOD-323,-215.75,-141.575,90,bottom
D37,D,D_SOD-323,-220.6,-103.475,90,bottom
D38,D,D_SOD-323,-225.4,-122.525,90,bottom
D39,D,D_SOD-323,-234.85,-141.575,90,bottom
D40,D,D_SOD-323,-232.46675,-160.625,90,bottom
D41,D,D_SOD-323,-239.65,-103.475,90,bottom
D42,D,D_SOD-323,-244.45,-122.525,90,bottom
D43,D,D_SOD-323,-265.81775,-141.575,90,bottom
D44,D,D_SOD-323,-256.34275,-160.625,90,bottom
D45,D,D_SOD-323,-258.7,-103.475,90,bottom
D46,D,D_SOD-323,-284.65,-123.65,90,bottom
D47,D,D_SOD-323,-277.774,-160.625,90,bottom
D48,D,D_SOD-323,-277.75,-103.475,90,bottom
D49,D,D_SOD-323,-333.9,-103.475,90,bottom
D50,D,D_SOD-323,-333.9,-122.525,90,bottom
D51,D,D_SOD-323,-333.9,-141.575,90,bottom
D52,D,D_SOD-323,-333.9,-160.625,90,bottom
D53,D,D_SOD-323,-335.9,-103.475,90,bottom
D54,D,D_SOD-323,-335.9,-122.525,90,bottom
